id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827480,1831505,4,1.8204784532536746,0.5,9,0.6666666666666666,1.0,4,1
1827480,1840928,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1827480,1841950,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1827481,1835719,0,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,1
1827481,1840910,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,1,1
1827484,1842001,0,1.8204784532536746,0.5,9,0.6666666666666666,1.0,0,1
1827484,1842009,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,2,1
1827484,1868769,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,2,1
1830019,1832031,1,0.0,0.0,1,0.0,1.0,1,1
1830162,1840866,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1830162,1840884,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1830162,1840893,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1830162,1840902,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1830162,1841914,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1830409,1841871,2,0.0,0.0,1,0.0,1.0,2,1
1831041,1840817,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1831041,1840824,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1831041,1840827,3,2.4853397382384474,0.6666666666666666,25,0.8,1.0,3,1
1831041,1841826,3,2.4853397382384474,0.6666666666666666,25,0.8,1.0,3,1
1831041,1841930,3,2.4853397382384474,0.6666666666666666,25,0.8,1.0,3,1
1831505,1840928,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1831505,1841950,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1832065,1832083,4,1.4426950408889634,0.3333333333333333,4,0.5,1.0,4,1
1832065,1840852,4,1.4426950408889634,0.3333333333333333,4,0.5,1.0,4,1
1832083,1840852,4,1.4426950408889634,0.3333333333333333,4,0.5,1.0,4,1
1832112,1832145,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1832112,1832147,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1832112,1832150,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1832145,1832147,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1832145,1832150,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1832147,1832150,3,1.8204784532536746,0.5,9,0.6666666666666666,1.0,3,1
1835557,1841980,0,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,1
1835557,1872337,0,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,1
1835719,1840910,0,1.4426950408889634,0.3333333333333333,4,0.5,1.0,0,1
1840817,1840824,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1840817,1840827,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840817,1841826,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840817,1841930,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840824,1840827,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840824,1841826,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840824,1841930,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840827,1841826,3,2.4853397382384474,0.6666666666666666,25,0.8,1.0,3,1
1840827,1841930,3,2.4853397382384474,0.6666666666666666,25,0.8,1.0,3,1
1840866,1840884,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840866,1840893,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1840866,1840902,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840866,1841914,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1840884,1840893,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840884,1840902,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1840884,1841914,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840893,1840902,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840893,1841914,2,2.4853397382384474,0.6666666666666666,25,0.8,1.0,2,1
1840902,1841914,0,2.4853397382384474,0.6666666666666666,25,0.8,1.0,0,1
1840928,1841950,4,1.8204784532536746,0.5,9,0.6666666666666666,1.0,4,1
1841826,1841930,3,2.4853397382384474,0.6666666666666666,25,0.8,1.0,3,1
1841980,1872337,1,1.4426950408889634,0.3333333333333333,4,0.5,1.0,1,1
1842001,1842009,0,1.8204784532536746,0.5,9,0.6666666666666666,1.0,0,1
1842001,1868769,0,1.8204784532536746,0.5,9,0.6666666666666666,1.0,0,1
1842009,1868769,2,1.8204784532536746,0.5,9,0.6666666666666666,1.0,2,1
